timestamp,gtr,gtr-norm,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1692549600,,0.7454718304298544,5.4,2920,596.0,2023-08-20 16:40:00+00:00,2023-08-20 16:40:00+00:00,0
1692549900,,0.7454718304298544,4.8,2920,596.0,2023-08-20 16:45:00+00:00,2023-08-20 16:45:00+00:00,0
1692550200,,0.7454718304298544,7.4,2920,605.0,2023-08-20 16:50:00+00:00,2023-08-20 16:50:00+00:00,0
1692550500,,0.7454718304298544,5.8,2920,605.0,2023-08-20 16:55:00+00:00,2023-08-20 16:55:00+00:00,0
1692550800,3791258750.0,0.8107428060144569,8.2,2920,584.0,2023-08-20 17:00:00+00:00,2023-08-20 17:00:00+00:00,0
1692551100,,0.8107428060144569,6.4,2920,584.0,2023-08-20 17:05:00+00:00,2023-08-20 17:05:00+00:00,0
1692551400,,0.8107428060144569,5.2,2920,599.0,2023-08-20 17:10:00+00:00,2023-08-20 17:10:00+00:00,0
1692551700,,0.8107428060144569,5.0,2920,599.0,2023-08-20 17:15:00+00:00,2023-08-20 17:15:00+00:00,0
1692552000,,0.8107428060144569,3.6,2920,593.0,2023-08-20 17:20:00+00:00,2023-08-20 17:20:00+00:00,0
1692552300,,0.8107428060144569,4.4,2920,593.0,2023-08-20 17:25:00+00:00,2023-08-20 17:25:00+00:00,0
1692552600,3944927812.0,0.825828698301391,6.0,2920,591.0,2023-08-20 17:30:00+00:00,2023-08-20 17:30:00+00:00,0
1692552900,,0.825828698301391,4.8,2920,591.0,2023-08-20 17:35:00+00:00,2023-08-20 17:35:00+00:00,0
1692553200,,0.825828698301391,7.0,2920,601.0,2023-08-20 17:40:00+00:00,2023-08-20 17:40:00+00:00,0
1692553500,,0.825828698301391,4.4,2920,601.0,2023-08-20 17:45:00+00:00,2023-08-20 17:45:00+00:00,0
1692553800,,0.825828698301391,5.2,2920,594.0,2023-08-20 17:50:00+00:00,2023-08-20 17:50:00+00:00,0
1692554100,,0.825828698301391,3.6,2920,594.0,2023-08-20 17:55:00+00:00,2023-08-20 17:55:00+00:00,0
1692554400,4375447395.0,0.8517579598930017,6.4,2920,601.0,2023-08-20 18:00:00+00:00,2023-08-20 18:00:00+00:00,0
1692554700,,0.8517579598930017,5.6,2920,601.0,2023-08-20 18:05:00+00:00,2023-08-20 18:05:00+00:00,0
1692555000,,0.8517579598930017,6.8,2921,607.0,2023-08-20 18:10:00+00:00,2023-08-20 18:10:00+00:00,0
1692555300,,0.8517579598930017,7.2,2921,607.0,2023-08-20 18:15:00+00:00,2023-08-20 18:15:00+00:00,0
1692555600,,0.8517579598930017,5.2,2921,592.0,2023-08-20 18:20:00+00:00,2023-08-20 18:20:00+00:00,0
1692555900,,0.8517579598930017,5.2,2921,592.0,2023-08-20 18:25:00+00:00,2023-08-20 18:25:00+00:00,0
1692556200,4606274375.0,0.8600459909073609,7.6,2921,599.0,2023-08-20 18:30:00+00:00,2023-08-20 18:30:00+00:00,0
1692556500,,0.8600459909073609,6.2,2921,599.0,2023-08-20 18:35:00+00:00,2023-08-20 18:35:00+00:00,0
1692556800,,0.8600459909073609,7.2,2921,601.0,2023-08-20 18:40:00+00:00,2023-08-20 18:40:00+00:00,0
1692557100,,0.8600459909073609,5.2,2921,601.0,2023-08-20 18:45:00+00:00,2023-08-20 18:45:00+00:00,0
1692557400,,0.8600459909073609,5.2,2921,600.0,2023-08-20 18:50:00+00:00,2023-08-20 18:50:00+00:00,0
1692557700,,0.8600459909073609,5.6,2921,600.0,2023-08-20 18:55:00+00:00,2023-08-20 18:55:00+00:00,0
1692558000,4806002083.0,0.879670647294911,4.6,2921,594.0,2023-08-20 19:00:00+00:00,2023-08-20 19:00:00+00:00,0
1692558300,,0.879670647294911,5.6,2921,594.0,2023-08-20 19:05:00+00:00,2023-08-20 19:05:00+00:00,0
